,date_time,text,text_mod,tokens,num_words,lemmatized_words
0,2022-05-13 10:04:31,"[​​](https://telegra.ph/file/9dd0189d8968b6a94209d.jpg)Аукціон на підтримку ЗСУ 🇺🇦

УКРАЇНСЬКІ ЗІРКИ НАДАЛИ РЕЧІ НА АУКЦІОН ВІД 📻РАДІО ""ВЕЖА FM"".

""Dzidzio"", ""Без обмежень"", ""Воплі Відоплясова"", ""Океан Ельзи"", ""КAZKA"", ""Скрябін"", ""Kalush"" та багато інших...

Переходьте за [посиланням](https://www.facebook.com/media/set/?vanity=vezha.org&set=a.7749623045078571) та обирайте свій лот. 

Слава Україні! Героям слава! 🇺🇦","[​​](аукціон на підтримку зсу 🇺🇦

українські зірки надали речі на аукціон від 📻радіо ""вежа "".

"""", ""без обмежень"", ""воплі відоплясова"", ""океан ельзи"", ""к"", ""скрябін"", """" та багато інших...

переходьте за [посиланням]( та обирайте свій лот. 

слава україні! героям слава! 🇺🇦","['аукціон', 'на', 'підтримку', 'зсу', 'українські', 'зірки', 'надали', 'речі', 'на', 'аукціон', 'від', 'радіо', 'вежа', 'без', 'обмежень', 'воплі', 'відоплясова', 'океан', 'ельзи', 'к', 'скрябін', 'та', 'багато', 'інших', 'переходьте', 'за', 'посиланням', 'та', 'обирайте', 'свій', 'лот', 'слава', 'україні', 'героям', 'слава']",35,"['аукціон', 'на', 'підтримка', 'зса', 'український', 'зірка', 'надати', 'річ', 'на', 'аукціон', 'від', 'радіо', 'вежа', 'без', 'обмеження', 'вопля', 'відоплясова', 'океан', 'ельза', 'к', 'скрябін', 'та', 'багато', 'інший', 'переходити', 'за', 'посилання', 'та', 'обирати', 'свій', 'лот', 'слава', 'україна', 'герой', 'слава']"
1,2023-02-15 20:01:33,"Обіцяють, що завтра, 16 лютого, будемо зі світлом💡

✅Прикарпаттяобленерго повідомляє, що завтра графіки погодинного вимкнення електроенергії застосовуватись не будуть.

🟢 НЕК «Укренерго» не встановили ліміт споживання електричної енергії на Прикарпатті.

⚡Графіки погодинного вимкнення електроенергії можуть бути застосовані лише у разі зміни «Укренерго» лімітів потужності протягом дня з метою збалансування об‘єднаної енергосистеми України аби не допустити аварій на обладнанні.

📢НАГАДУЮ, НІ Я, НІ МІСЬКА РАДА НЕ СКЛАДАЄМО ГРАФІКІВ ВИМКНЕННЯ СВІТЛА. ЇХ ФОРМУЄ ПРИКАРПАТТЯОБЛЕНЕРГО З ПОГОДЖЕННЯМ ОВА.","обіцяють, що завтра, 16 лютого, будемо зі світлом💡

✅прикарпаттяобленерго повідомляє, що завтра графіки погодинного вимкнення електроенергії застосовуватись не будуть.

🟢 нек «укренерго» не встановили ліміт споживання електричної енергії на прикарпатті.

⚡графіки погодинного вимкнення електроенергії можуть бути застосовані лише у разі зміни «укренерго» лімітів потужності протягом дня з метою збалансування об‘єднаної енергосистеми україни аби не допустити аварій на обладнанні.

📢нагадую, ні я, ні міська рада не складаємо графіків вимкнення світла. їх формує прикарпаттяобленерго з погодженням ова.","['обіцяють', 'що', 'завтра', 'лютого', 'будемо', 'зі', 'світлом', 'прикарпаттяобленерго', 'повідомляє', 'що', 'завтра', 'графіки', 'погодинного', 'вимкнення', 'електроенергії', 'застосовуватись', 'не', 'будуть', 'нек', 'укренерго', 'не', 'встановили', 'ліміт', 'споживання', 'електричної', 'енергії', 'на', 'прикарпатті', 'графіки', 'погодинного', 'вимкнення', 'електроенергії', 'можуть', 'бути', 'застосовані', 'лише', 'у', 'разі', 'зміни', 'укренерго', 'лімітів', 'потужності', 'протягом', 'дня', 'з', 'метою', 'збалансування', 'об', 'єднаної', 'енергосистеми', 'україни', 'аби', 'не', 'допустити', 'аварій', 'на', 'обладнанні', 'нагадую', 'ні', 'я', 'ні', 'міська', 'рада', 'не', 'складаємо', 'графіків', 'вимкнення', 'світла', 'їх', 'формує', 'прикарпаттяобленерго', 'з', 'погодженням', 'ова']",74,"['обіцяти', 'що', 'завтра', 'лютий', 'бути', 'зі', 'світло', 'Прикарпаттяобленер', 'повідомляти', 'що', 'завтра', 'графік', 'погодинний', 'вимкнення', 'електроенергія', 'застосовуватися', 'не', 'бути', 'нек', 'укренерго', 'не', 'встановити', 'ліміт', 'споживання', 'електричний', 'енергія', 'на', 'Прикарпаття', 'графік', 'погодинний', 'вимкнення', 'електроенергія', 'могти', 'бути', 'застосований', 'лише', 'у', 'раз', 'зміна', 'укренерго', 'ліміт', 'потужність', 'протягом', 'день', 'з', 'мета', 'збалансування', 'об', 'єднаний', 'енергосисте', 'Україна', 'аби', 'не', 'допустити', 'аварій', 'на', 'обладнання', 'нагадувати', 'ні', 'я', 'ні', 'міський', 'рада', 'не', 'складати', 'графік', 'вимкнення', 'світло', 'вони', 'формувати', 'прикарпаттяобленерго', 'з', 'погодження', 'оМа']"
2,2022-12-03 11:09:13,"Продовжуємо допомагати українцям, котрі у воєнних умовах часто потребують найнеобхіднішого✔️ Волонтери Франківська об’єдналися і спільно з владою відвезли черговий рятівний вантаж🚛🛻🚛 для цивільного населення в деокупованих містах.

На цей раз волонтери їздили на Херсонщину. Там проживає багато людей, яким потрібна допомога. Це не перший гуманітарний вантаж «Спілки волонтерів Прикарпаття» об’єднаний у проект «Чужих людей немає».

Добре, що цей проект продовжує працювати та ми маємо змогу допомогти не лише військовим🪖, а й цивільному населенню. Адже сила України - в єдності✊ І тому наш найперший обов'язок — не залишати своїх у біді. Разом переможемо!🇺🇦","продовжуємо допомагати українцям, котрі у воєнних умовах часто потребують найнеобхіднішого✔️ волонтери франківська об’єдналися і спільно з владою відвезли черговий рятівний вантаж🚛🛻🚛 для цивільного населення в деокупованих містах.

на цей раз волонтери їздили на херсонщину. там проживає багато людей, яким потрібна допомога. це не перший гуманітарний вантаж «спілки волонтерів прикарпаття» об’єднаний у проект «чужих людей немає».

добре, що цей проект продовжує працювати та ми маємо змогу допомогти не лише військовим🪖, а й цивільному населенню. адже сила україни - в єдності✊ і тому наш найперший обов'язок — не залишати своїх у біді. разом переможемо!🇺🇦","['продовжуємо', 'допомагати', 'українцям', 'котрі', 'у', 'воєнних', 'умовах', 'часто', 'потребують', 'найнеобхіднішого', 'волонтери', 'франківська', 'об’єдналися', 'і', 'спільно', 'з', 'владою', 'відвезли', 'черговий', 'рятівний', 'вантаж', 'для', 'цивільного', 'населення', 'в', 'деокупованих', 'містах', 'на', 'цей', 'раз', 'волонтери', 'їздили', 'на', 'херсонщину', 'там', 'проживає', 'багато', 'людей', 'яким', 'потрібна', 'допомога', 'це', 'не', 'перший', 'гуманітарний', 'вантаж', 'спілки', 'волонтерів', 'прикарпаття', 'об’єднаний', 'у', 'проект', 'чужих', 'людей', 'немає', 'добре', 'що', 'цей', 'проект', 'продовжує', 'працювати', 'та', 'ми', 'маємо', 'змогу', 'допомогти', 'не', 'лише', 'військовим', 'а', 'й', 'цивільному', 'населенню', 'адже', 'сила', 'україни', 'в', 'єдності', 'і', 'тому', 'наш', 'найперший', ""обов'язок"", 'не', 'залишати', 'своїх', 'у', 'біді', 'разом', 'переможемо']",90,"['продовжувати', 'допомагати', 'українець', 'котрий', 'у', 'воєнний', 'умова', 'часто', 'потребувати', 'найнеобхідніший', 'волонтер', 'франківська', 'об’єднатися', 'і', 'спільно', 'з', 'влада', 'відвезти', 'черговий', 'рятівний', 'вантаж', 'для', 'цивільний', 'населення', 'в', 'деокупований', 'місто', 'на', 'цей', 'раз', 'волонтер', 'їздити', 'на', 'Жерсонщина', 'там', 'проживати', 'багато', 'людина', 'який', 'потрібний', 'допомога', 'це', 'не', 'перший', 'гуманітарний', 'вантаж', 'спілка', 'волонтер', 'Прикарпаття', 'об’єднаний', 'у', 'проект', 'чужий', 'людина', 'немати', 'добре', 'що', 'цей', 'проект', 'продовжувати', 'працювати', 'та', 'ми', 'мати', 'змога', 'допомогти', 'не', 'лише', 'військовий', 'а', 'й', 'цивільний', 'населення', 'адже', 'сила', 'Україна', 'в', 'єдність', 'і', 'тому', 'наш', 'найперший', 'обов’язка', 'не', 'залишати', 'свій', 'у', 'біда', 'разом', 'перемогти']"
3,2022-08-08 10:46:44,!! ВІДБІЙ ТРИВОГИ !!,!! відбій тривоги !!,"['відбій', 'тривоги']",2,"['відбій', 'тривога']"
4,2023-01-23 20:14:41,"Добра нагода дізнатись нове і цікаве🧐Про креативне підприємництво, інструменти для розвитку бізнесу, тренди і досвід з Британії можна довідатись у будь-якому зручному форматі: як онлайн, так і наживо. 

👨‍🦰👩 Для кого? Усіх людей 18+, зацікавлених у розвитку підприємницьких навичок.

⏰ Коли? 24 січня 2023 | 18:00

📍 Де? Паралельно у двох форматах:
✅ онлайн: https://us02web.zoom.us/j/84747803203?pwd=Y1oxcXhac3VGR1lBZENwS1hUSVQ3dz09
✅ офлайн: Науковий музей ""Нова Енергія"" (вул. Коновальця, 35 - 0-й поверх УКД)

 💚  Участь БЕЗКОШТОВНО

👉 Для реєстрації переходьте за посиланням: https://forms.gle/9JH2JRdFr2g8Ax116","добра нагода дізнатись нове і цікаве🧐про креативне підприємництво, інструменти для розвитку бізнесу, тренди і досвід з британії можна довідатись у будь-якому зручному форматі: як онлайн, так і наживо. 

👨‍🦰👩 для кого? усіх людей 18+, зацікавлених у розвитку підприємницьких навичок.

⏰ коли? 24 січня 2023 | 18:00

📍 де? паралельно у двох форматах:
✅ онлайн: 
✅ офлайн: науковий музей ""нова енергія"" (вул. коновальця, 35 - 0-й поверх укд)

 💚  участь безкоштовно

👉 для реєстрації переходьте за посиланням: ","['добра', 'нагода', 'дізнатись', 'нове', 'і', 'цікаве', 'про', 'креативне', 'підприємництво', 'інструменти', 'для', 'розвитку', 'бізнесу', 'тренди', 'і', 'досвід', 'з', 'британії', 'можна', 'довідатись', 'у', 'будь', 'якому', 'зручному', 'форматі', 'як', 'онлайн', 'так', 'і', 'наживо', 'для', 'кого', 'усіх', 'людей', 'зацікавлених', 'у', 'розвитку', 'підприємницьких', 'навичок', 'коли', 'січня', 'де', 'паралельно', 'у', 'двох', 'форматах', 'онлайн', 'офлайн', 'науковий', 'музей', 'нова', 'енергія', 'вул', 'коновальця', 'поверх', 'укд', 'участь', 'безкоштовно', 'для', 'реєстрації', 'переходьте', 'за', 'посиланням']",63,"['добрий', 'нагода', 'дізнатися', 'новий', 'і', 'цікавий', 'про', 'креативний', 'підприємництво', 'інструмент', 'для', 'розвиток', 'бізнес', 'тренда', 'і', 'досвід', 'з', 'британія', 'можна', 'довідатися', 'у', 'бути', 'який', 'зручний', 'формат', 'як', 'онлайн', 'так', 'і', 'наживо', 'для', 'хто', 'увесь', 'людина', 'зацікавлений', 'у', 'розвиток', 'підприємницький', 'навичка', 'коли', 'січень', 'де', 'паралельно', 'у', 'два', 'формат', 'онлайн', 'офлайн', 'науковий', 'музей', 'новий', 'енергія', 'вул.', 'коновалець', 'поверх', 'укд', 'участь', 'безкоштовно', 'для', 'реєстрація', 'переходити', 'за', 'посилання']"
5,2022-04-16 05:45:18,"❗️❗️❗️ ІВАНО-ФРАНКІВСЬК 📢📢📢 Повітряна тривога
Нагадую! Не публікуємо відео та фото  в разі ударів чи обстрілу! Не допомагаємо ворогу!","❗️❗️❗️ івано-франківськ 📢📢📢 повітряна тривога
нагадую! не публікуємо відео та фото  в разі ударів чи обстрілу! не допомагаємо ворогу!","['івано', 'франківськ', 'повітряна', 'тривога', 'нагадую', 'не', 'публікуємо', 'відео', 'та', 'фото', 'в', 'разі', 'ударів', 'чи', 'обстрілу', 'не', 'допомагаємо', 'ворогу']",18,"['івано', 'франківськ', 'повітряний', 'тривога', 'нагадувати', 'не', 'публікувати', 'відео', 'та', 'фото', 'в', 'раз', 'удар', 'чи', 'обстріл', 'не', 'допомагати', 'ворог']"
6,2022-10-12 15:56:56,"🕯ЦІНА СВОБОДИ Й СПОКОЮ

Сьогодні розпочали встановлювати Алею Слави на «стометрівці», аби вшанувати пам'ять загиблих Героїв нашої громади. Розміщуємо світлини українських захисників, які з 2014 року полягли у війні, захищаючи рідну землю від російських загарбників. 

На жаль, з початком повномасштабної війни, Героїв, котрі віддали життя за наш спокій, стало більше🕯 Всі вони мужньо загинули за Україну. Не маємо права забувати про їхній подвиг. Низький уклін та світла пам'ять кожному захиснику.

Тепер кожен мешканець громади зможе поглянути в очі захисникам, віддати їм шану та схилити голову в молитві🙏

Нагадаю, також до Дня захисників і захисниць України розміщуємо білборди з загиблими Героями нашої громади ▶ https://cutt.ly/6BmjSuz","🕯ціна свободи й спокою

сьогодні розпочали встановлювати алею слави на «стометрівці», аби вшанувати пам'ять загиблих героїв нашої громади. розміщуємо світлини українських захисників, які з 2014 року полягли у війні, захищаючи рідну землю від російських загарбників. 

на жаль, з початком повномасштабної війни, героїв, котрі віддали життя за наш спокій, стало більше🕯 всі вони мужньо загинули за україну. не маємо права забувати про їхній подвиг. низький уклін та світла пам'ять кожному захиснику.

тепер кожен мешканець громади зможе поглянути в очі захисникам, віддати їм шану та схилити голову в молитві🙏

нагадаю, також до дня захисників і захисниць україни розміщуємо білборди з загиблими героями нашої громади ▶ ","['ціна', 'свободи', 'й', 'спокою', 'сьогодні', 'розпочали', 'встановлювати', 'алею', 'слави', 'на', 'стометрівці', 'аби', 'вшанувати', ""пам'ять"", 'загиблих', 'героїв', 'нашої', 'громади', 'розміщуємо', 'світлини', 'українських', 'захисників', 'які', 'з', 'року', 'полягли', 'у', 'війні', 'захищаючи', 'рідну', 'землю', 'від', 'російських', 'загарбників', 'на', 'жаль', 'з', 'початком', 'повномасштабної', 'війни', 'героїв', 'котрі', 'віддали', 'життя', 'за', 'наш', 'спокій', 'стало', 'більше', 'всі', 'вони', 'мужньо', 'загинули', 'за', 'україну', 'не', 'маємо', 'права', 'забувати', 'про', 'їхній', 'подвиг', 'низький', 'уклін', 'та', 'світла', ""пам'ять"", 'кожному', 'захиснику', 'тепер', 'кожен', 'мешканець', 'громади', 'зможе', 'поглянути', 'в', 'очі', 'захисникам', 'віддати', 'їм', 'шану', 'та', 'схилити', 'голову', 'в', 'молитві', 'нагадаю', 'також', 'до', 'дня', 'захисників', 'і', 'захисниць', 'україни', 'розміщуємо', 'білборди', 'з', 'загиблими', 'героями', 'нашої', 'громади']",101,"['ціна', 'свобода', 'й', 'спокій', 'сьогодні', 'розпочати', 'встановлювати', 'алея', 'слава', 'на', 'стометрівець', 'аби', 'вшанувати', 'пам’ять', 'загиблі', 'герой', 'наш', 'громада', 'розміщувати', 'світлина', 'український', 'захисник', 'який', 'з', 'рік', 'полягти', 'у', 'війна', 'захищати', 'рідний', 'земля', 'від', 'російський', 'загарбник', 'на', 'жаль', 'з', 'початок', 'повномасштабний', 'війна', 'герой', 'котрий', 'віддати', 'життя', 'за', 'наш', 'спокій', 'стати', 'більше', 'весь', 'вони', 'мужньо', 'загинути', 'за', 'Україна', 'не', 'мати', 'право', 'забувати', 'про', 'їхній', 'подвига', 'низький', 'уклін', 'та', 'світло', 'пам’ять', 'кожний', 'захисник', 'тепер', 'кожний', 'мешканець', 'громада', 'змогти', 'поглянути', 'в', 'око', 'захисник', 'віддати', 'вони', 'шан', 'та', 'схилити', 'голова', 'в', 'молитва', 'нагадати', 'також', 'до', 'день', 'захисник', 'і', 'захисниця', 'Україна', 'розміщувати', 'білборд', 'з', 'загиблий', 'герой', 'наш', 'громада']"
7,2022-02-25 17:59:58,❗❗❗ ІВАНО-ФРАНКІВСЬК СИРЕНИ 📢📢📢 В УКРИТТЯ,❗❗❗ івано-франківськ сирени 📢📢📢 в укриття,"['івано', 'франківськ', 'сирени', 'в', 'укриття']",5,"['івано', 'франківськ', 'сирен', 'в', 'укриття']"
8,2022-03-06 19:06:42,"❗ Прошу наступні дні бути максимально уважними! 

Завантажте додаток на телефон 📱 «Повітряна тривога» від Мінцифри:
✅ через Google Play Market - https://bit.ly/3K5TQZH 
✅ через AppStore  https://apple.co/3Mbe99S

Реагуйте на сирени! Їх ніколи не запускають просто так! Зараз це дуже важливо. 
В Івано-Франківській громаді останні дні минули спокійно. Але важливо не розслаблятись та  не втрачати пильності.","❗ прошу наступні дні бути максимально уважними! 

завантажте додаток на телефон 📱 «повітряна тривога» від мінцифри:
✅ через    -  
✅ через   

реагуйте на сирени! їх ніколи не запускають просто так! зараз це дуже важливо. 
в івано-франківській громаді останні дні минули спокійно. але важливо не розслаблятись та  не втрачати пильності.","['прошу', 'наступні', 'дні', 'бути', 'максимально', 'уважними', 'завантажте', 'додаток', 'на', 'телефон', 'повітряна', 'тривога', 'від', 'мінцифри', 'через', 'через', 'реагуйте', 'на', 'сирени', 'їх', 'ніколи', 'не', 'запускають', 'просто', 'так', 'зараз', 'це', 'дуже', 'важливо', 'в', 'івано', 'франківській', 'громаді', 'останні', 'дні', 'минули', 'спокійно', 'але', 'важливо', 'не', 'розслаблятись', 'та', 'не', 'втрачати', 'пильності']",45,"['просити', 'наступний', 'день', 'бути', 'максимально', 'уважний', 'завантажити', 'додаток', 'на', 'телефон', 'повітряний', 'тривога', 'від', 'мінцифр', 'через', 'через', 'реагувати', 'на', 'сирен', 'вони', 'ніколи', 'не', 'запускати', 'просто', 'так', 'зараз', 'це', 'дуже', 'важливо', 'в', 'іваний', 'франківський', 'громада', 'останній', 'день', 'минути', 'спокійно', 'але', 'важливо', 'не', 'розслаблятися', 'та', 'не', 'втрачати', 'пильність']"
9,2023-01-09 18:57:39,"У Івано-Франківську в храмі Царя Христа триває XIV міжнародний фестиваль ""Коляда на Майзлях"". Попри вагання, чи проводити дійство через активні бойові дії в Україні, вирішили – фестивалю бути, адже коляда – це, в першу чергу, молитва 🙏. 

До храму Царя Христа приходять люди, яким дуже потрібні саме зараз Різдвяні коляда і диво ✨.

💬 «Я отримала сьогодні таке захоплення. Я приїхала тиждень назад з Меджугорія. Я отримала таке задоволення. Сьогодні – це просто мороз по шкірі. Це наші колядки, наші традиції, вони найкращі, які тільки можуть бути», - каже відвідувачка фестивалю Галина. 

Військовим також потрібна молитва, - впевнений захисник зі 109-го гірсько-штурмового батальйону Роман Дячишин. Каже, саме час звернутися до Бога і молитися за перемогу.

Як триває фестиваль та скільки ще колядуватимуть – читайте в статті: https://bit.ly/3GvNjY7","у івано-франківську в храмі царя христа триває  міжнародний фестиваль ""коляда на майзлях"". попри вагання, чи проводити дійство через активні бойові дії в україні, вирішили – фестивалю бути, адже коляда – це, в першу чергу, молитва 🙏. 

до храму царя христа приходять люди, яким дуже потрібні саме зараз різдвяні коляда і диво ✨.

💬 «я отримала сьогодні таке захоплення. я приїхала тиждень назад з меджугорія. я отримала таке задоволення. сьогодні – це просто мороз по шкірі. це наші колядки, наші традиції, вони найкращі, які тільки можуть бути», - каже відвідувачка фестивалю галина. 

військовим також потрібна молитва, - впевнений захисник зі 109-го гірсько-штурмового батальйону роман дячишин. каже, саме час звернутися до бога і молитися за перемогу.

як триває фестиваль та скільки ще колядуватимуть – читайте в статті: ","['у', 'івано', 'франківську', 'в', 'храмі', 'царя', 'христа', 'триває', 'міжнародний', 'фестиваль', 'коляда', 'на', 'майзлях', 'попри', 'вагання', 'чи', 'проводити', 'дійство', 'через', 'активні', 'бойові', 'дії', 'в', 'україні', 'вирішили', 'фестивалю', 'бути', 'адже', 'коляда', 'це', 'в', 'першу', 'чергу', 'молитва', 'до', 'храму', 'царя', 'христа', 'приходять', 'люди', 'яким', 'дуже', 'потрібні', 'саме', 'зараз', 'різдвяні', 'коляда', 'і', 'диво', 'я', 'отримала', 'сьогодні', 'таке', 'захоплення', 'я', 'приїхала', 'тиждень', 'назад', 'з', 'меджугорія', 'я', 'отримала', 'таке', 'задоволення', 'сьогодні', 'це', 'просто', 'мороз', 'по', 'шкірі', 'це', 'наші', 'колядки', 'наші', 'традиції', 'вони', 'найкращі', 'які', 'тільки', 'можуть', 'бути', 'каже', 'відвідувачка', 'фестивалю', 'галина', 'військовим', 'також', 'потрібна', 'молитва', 'впевнений', 'захисник', 'зі', 'гірсько', 'штурмового', 'батальйону', 'роман', 'дячишин', 'каже', 'саме', 'час', 'звернутися', 'до', 'бога', 'і', 'молитися', 'за', 'перемогу', 'як', 'триває', 'фестиваль', 'та', 'скільки', 'ще', 'колядуватимуть', 'читайте', 'в', 'статті']",117,"['у', 'іваний', 'франківський', 'в', 'храм', 'цар', 'христ', 'тривати', 'міжнародний', 'фестиваль', 'коляд', 'на', 'майзль', 'попри', 'вагання', 'чи', 'проводити', 'дійство', 'через', 'активний', 'бойовий', 'дія', 'в', 'україна', 'вирішити', 'фестиваль', 'бути', 'адже', 'коляд', 'це', 'в', 'перший', 'черга', 'молитва', 'до', 'храм', 'цар', 'христ', 'приходити', 'людина', 'який', 'дуже', 'потрібний', 'саме', 'зараз', 'різдвяний', 'коляд', 'і', 'диво', 'я', 'отримати', 'сьогодні', 'такий', 'захоплення', 'я', 'приїхати', 'тиждень', 'назад', 'з', 'меджугорія', 'я', 'отримати', 'такий', 'задоволення', 'сьогодні', 'це', 'просто', 'мороз', 'по', 'шкіра', 'це', 'наш', 'колядка', 'наш', 'традиція', 'вони', 'найкращий', 'який', 'тільки', 'могти', 'бути', 'казати', 'відвідувачка', 'фестиваль', 'галина', 'військовий', 'також', 'потрібний', 'молитва', 'впевнений', 'захисник', 'зі', 'гірський', 'штурмовий', 'батальйон', 'роман', 'дячишина', 'казати', 'саме', 'час', 'звернутися', 'до', 'бог', 'і', 'молитися', 'за', 'перемога', 'як', 'тривати', 'фестиваль', 'та', 'скільки', 'ще', 'колядувати', 'читати', 'в', 'стаття']"
